region,comuna,latitud,longitud,trazabilidad__region,trazabilidad__comuna,LER,tratamiento_n1_name,cantidad_toneladas
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Pudahuel,19 08 99 | Residuos no especificados en otra categoría,Eliminación,1244.7
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Estación Central,20 01 40 | Metales,Valorización,47.53
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,San Bernardo,15 01 02 | Envases de plástico,Valorización,12.32
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Cerrillos,20 01 39 | Plásticos,Valorización,2.72
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Talagante,20 03 99 | Residuos municipales no especificados en otra categoría,Eliminación,78.662
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,San Bernardo,01 01 02 | Residuos de la extracción de minerales no metálicos,Eliminación,6197.8
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,San Bernardo,10 02 01 | Residuos del tratamiento de escorias,Eliminación,367.48
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Pudahuel,01 04 99 | Residuos no especificados en otra categoría,Eliminación,9.08
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Pudahuel,19 08 99 | Residuos no especificados en otra categoría,Eliminación,938.24
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Talagante,20 03 99 | Residuos municipales no especificados en otra categoría,Eliminación,135.33
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,San Bernardo,"17 09 04 | Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03",Eliminación,357.83
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Pudahuel,20 01 38 | Madera distinta de la especificada en el código 20 01 37,Valorización,13.25
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Libertador Gral. Bernardo O'Higgins,Mostazal,02 03 05 | Lodos del tratamiento in situ de efluentes,Valorización,22.98
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Libertador Gral. Bernardo O'Higgins,Mostazal,19 08 05 | Lodos del tratamiento de aguas residuales urbanas,Valorización,10.35
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Estación Central,20 01 40 | Metales,Valorización,24.73
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Cerrillos,20 01 01 | Papel y cartón,Valorización,1.11
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,San Bernardo,15 01 02 | Envases de plástico,Valorización,9.34
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,San Bernardo,01 01 02 | Residuos de la extracción de minerales no metálicos,Eliminación,476.57
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,San Bernardo,10 02 01 | Residuos del tratamiento de escorias,Eliminación,261.76
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,San Bernardo,01 01 02 | Residuos de la extracción de minerales no metálicos,Eliminación,4529.694
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,San Bernardo,10 02 01 | Residuos del tratamiento de escorias,Eliminación,39.92
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Pudahuel,20 01 38 | Madera distinta de la especificada en el código 20 01 37,Valorización,6.71
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Pudahuel,01 04 99 | Residuos no especificados en otra categoría,Eliminación,17.48
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Pudahuel,19 08 99 | Residuos no especificados en otra categoría,Eliminación,781.69
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Estación Central,15 01 04 | Envases metálicos,Recepción y Almacenamiento,0.67
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Estación Central,20 01 40 | Metales,Recepción y Almacenamiento,14.73
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Estación Central,15 01 02 | Envases de plástico,Recepción y Almacenamiento,0.71
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,San Bernardo,15 01 02 | Envases de plástico,Eliminación,8.85
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Talagante,20 03 99 | Residuos municipales no especificados en otra categoría,Eliminación,93.98
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,San Bernardo,"17 09 04 | Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03",Eliminación,105.06
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Ñuble,San Bernardo,02 03 05 | Lodos del tratamiento in situ de efluentes,Valorización,15.96
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Ñuble,San Bernardo,10 02 01 | Residuos del tratamiento de escorias,Valorización,4.87
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Ñuble,San Bernardo,19 08 05 | Lodos del tratamiento de aguas residuales urbanas,Valorización,14.11
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,San Bernardo,10 02 01 | Residuos del tratamiento de escorias,Eliminación,493.67
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,San Bernardo,01 01 02 | Residuos de la extracción de minerales no metálicos,Eliminación,6957.92
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,San Bernardo,10 02 01 | Residuos del tratamiento de escorias,Eliminación,200.17
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Pudahuel,20 01 38 | Madera distinta de la especificada en el código 20 01 37,Valorización,9.7
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Ñuble,San Bernardo,02 03 05 | Lodos del tratamiento in situ de efluentes,Valorización,18.57
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,San Bernardo,01 04 99 | Residuos no especificados en otra categoría,Eliminación,14.25
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Pudahuel,19 08 99 | Residuos no especificados en otra categoría,Eliminación,980.57
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Estación Central,15 01 04 | Envases metálicos,Recepción y Almacenamiento,0.9
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Estación Central,20 01 40 | Metales,Recepción y Almacenamiento,10.63
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,San Bernardo,15 01 02 | Envases de plástico,Eliminación,4.54
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Talagante,20 03 99 | Residuos municipales no especificados en otra categoría,Eliminación,64.35
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,San Bernardo,"17 09 04 | Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03",Eliminación,229.64
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,San Bernardo,10 02 01 | Residuos del tratamiento de escorias,Eliminación,100.97
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,San Bernardo,01 01 02 | Residuos de la extracción de minerales no metálicos,Eliminación,7220.07
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,San Bernardo,10 02 01 | Residuos del tratamiento de escorias,Eliminación,606.12
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,San Bernardo,"17 09 04 | Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03",Eliminación,338.34
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Pudahuel,20 01 38 | Madera distinta de la especificada en el código 20 01 37,Valorización,17.81
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Maule,Molina,02 03 05 | Lodos del tratamiento in situ de efluentes,Valorización,18.65
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Pudahuel,01 04 99 | Residuos no especificados en otra categoría,Eliminación,6.24
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Pudahuel,02 03 05 | Lodos del tratamiento in situ de efluentes,Eliminación,19.47
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Pudahuel,19 08 99 | Residuos no especificados en otra categoría,Eliminación,1022.32
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Estación Central,15 01 04 | Envases metálicos,Valorización,1.86
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Estación Central,20 01 40 | Metales,Valorización,4.36
Metropolitana de Santiago,San Bernardo,-33.633762794548,-70.699775157396,Metropolitana de Santiago,Estación Central,20 01 40 | Metales,Valorización,8.12
